127.0.0.1, 2016-03-09 22:19:47, GET, /SPE/appadmin/hooks, HTTP/1.1, 500, 5.218416
127.0.0.1, 2016-03-09 22:19:47, GET, /admin/default/edit/SPE/controllers/default.py, HTTP/1.1, 200, 0.029485
127.0.0.1, 2016-03-09 22:19:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000805
127.0.0.1, 2016-03-09 22:19:49, GET, /admin/default/edit/SPE/controllers/default.py, HTTP/1.1, 200, 0.031310
127.0.0.1, 2016-03-09 22:19:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000829
127.0.0.1, 2016-03-09 22:19:50, GET, /admin/default/peek/SPE/controllers/default.py, HTTP/1.1, 200, 0.025661
127.0.0.1, 2016-03-09 22:19:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000851
127.0.0.1, 2016-03-09 22:19:51, GET, /admin/default/design/SPE, HTTP/1.1, 200, 0.028414
127.0.0.1, 2016-03-09 22:19:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000800
127.0.0.1, 2016-03-09 22:19:55, GET, /admin/default/, HTTP/1.1, 200, 0.046869
127.0.0.1, 2016-03-09 22:19:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000833
127.0.0.1, 2016-03-09 22:19:58, GET, /admin/default/, HTTP/1.1, 200, 0.030380
127.0.0.1, 2016-03-09 22:19:58, GET, /favicon.ico, HTTP/1.1, 400, 0.002828
127.0.0.1, 2016-03-09 22:20:00, GET, /, HTTP/1.1, 303, 0.001130
127.0.0.1, 2016-03-09 22:20:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.267345
127.0.0.1, 2016-03-09 22:20:03, GET, /admin/default/index, HTTP/1.1, 200, 0.030455
127.0.0.1, 2016-03-09 22:20:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000821
127.0.0.1, 2016-03-09 22:20:20, GET, /admin/default/index, HTTP/1.1, 303, 0.170338
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/default/site, HTTP/1.1, 200, 0.217031
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 304, 0.000556
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 304, 0.000527
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 304, 0.000692
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 304, 0.000491
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000494
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000523
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000496
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000496
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000521
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.000515
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000472
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000559
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000621
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 304, 0.000520
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/images/folder_locked.png, HTTP/1.1, 304, 0.000592
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/images/folder.png, HTTP/1.1, 304, 0.000758
127.0.0.1, 2016-03-09 22:20:21, GET, /admin/static/_2.13.4/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000552
127.0.0.1, 2016-03-09 22:20:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2016-03-09 22:20:26, GET, /admin/default/design/SPE, HTTP/1.1, 200, 0.706314
127.0.0.1, 2016-03-09 22:20:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000409
127.0.0.1, 2016-03-09 22:20:29, GET, /admin/default/peek/SPE/models/db-syq.py, HTTP/1.1, 200, 0.129137
127.0.0.1, 2016-03-09 22:20:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000410
127.0.0.1, 2016-03-09 22:20:32, GET, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.164629
127.0.0.1, 2016-03-09 22:20:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000366
127.0.0.1, 2016-03-09 22:20:33, GET, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.253600
127.0.0.1, 2016-03-09 22:20:33, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.193960
127.0.0.1, 2016-03-09 22:20:33, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.333940
127.0.0.1, 2016-03-09 22:20:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.434057
127.0.0.1, 2016-03-09 22:20:33, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.653618
127.0.0.1, 2016-03-09 22:20:33, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.395641
127.0.0.1, 2016-03-09 22:21:02, POST, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.062453
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/default/index, HTTP/1.1, 200, 0.563226
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004453
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000514
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/css/general.css, HTTP/1.1, 404, 0.000439
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/css/navbar.css, HTTP/1.1, 200, 0.000548
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/css/footer.css, HTTP/1.1, 304, 0.000466
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000476
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/css/calendar.css, HTTP/1.1, 304, 0.001003
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/js/jquery.js, HTTP/1.1, 304, 0.000469
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/js/calendar.js, HTTP/1.1, 304, 0.000506
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/js/web2py.js, HTTP/1.1, 304, 0.000560
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000964
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000551
127.0.0.1, 2016-03-09 22:21:05, GET, /SPE/static/js/share.js, HTTP/1.1, 304, 0.000828
127.0.0.1, 2016-03-09 22:21:06, GET, /SPE/static/images/home/LogoUniversidadSimonBolivar.png, HTTP/1.1, 304, 0.000508
127.0.0.1, 2016-03-09 22:21:06, GET, /SPE/static/images/home/header-usb.png, HTTP/1.1, 304, 0.000515
127.0.0.1, 2016-03-09 22:21:07, GET, /SPE/static/images/twitter.png, HTTP/1.1, 304, 0.000607
127.0.0.1, 2016-03-09 22:21:07, GET, /SPE/static/images/facebook.png, HTTP/1.1, 304, 0.000546
127.0.0.1, 2016-03-09 22:21:07, GET, /SPE/static/images/gplus-32.png, HTTP/1.1, 304, 0.000502
127.0.0.1, 2016-03-09 22:21:07, GET, /SPE/static/images/favicon.ico, HTTP/1.1, 200, 0.000832
127.0.0.1, 2016-03-09 22:21:17, GET, /, HTTP/1.1, 303, 0.000609
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/default/index, HTTP/1.1, 200, 1.846169
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000960
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000950
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000545
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000551
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000484
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000469
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000530
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000990
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000479
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000479
127.0.0.1, 2016-03-09 22:21:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000593
127.0.0.1, 2016-03-09 22:21:20, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000550
127.0.0.1, 2016-03-09 22:21:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000544
127.0.0.1, 2016-03-09 22:21:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000537
127.0.0.1, 2016-03-09 22:21:21, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000523
127.0.0.1, 2016-03-09 22:21:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.191224
127.0.0.1, 2016-03-09 22:21:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.366579
127.0.0.1, 2016-03-09 22:22:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075686
127.0.0.1, 2016-03-09 22:22:35, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 2.127146
127.0.0.1, 2016-03-09 22:23:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.135283
127.0.0.1, 2016-03-09 22:23:36, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 2.249560
127.0.0.1, 2016-03-09 22:24:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074040
127.0.0.1, 2016-03-09 22:24:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.260231
127.0.0.1, 2016-03-09 22:25:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.116835
127.0.0.1, 2016-03-09 22:25:36, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 2.681627
127.0.0.1, 2016-03-09 22:26:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.124225
127.0.0.1, 2016-03-09 22:26:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.427780
127.0.0.1, 2016-03-09 22:27:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063798
127.0.0.1, 2016-03-09 22:27:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.236772
127.0.0.1, 2016-03-09 22:28:10, POST, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.070292
127.0.0.1, 2016-03-09 22:28:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.138299
127.0.0.1, 2016-03-09 22:28:35, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 1.583777
127.0.0.1, 2016-03-09 22:29:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.138604
127.0.0.1, 2016-03-09 22:29:36, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 2.452078
127.0.0.1, 2016-03-09 22:30:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.084319
